=== Lista de Audios do Perfect Dark (Total: 548) ===
Formato para substituir/dublar:
  - Nome do arquivo: audio/<NomeDoArquivo>.mp3 (ex: Arecep01M.mp3)
  - Ou por ID decimal: audio/<ID_DEC>.mp3 (ex: 0625.mp3)
  - Ou por ID hexadecimal: audio/<ID_HEX>.mp3 (ex: 0271.mp3)

ID_DEC: 0667 | ID_HEX: 0x029b | Nome: Aa51elv02M   | Arquivo: Aa51elv02M.mp3   | Tamanho: 7488 bytes
ID_DEC: 0668 | ID_HEX: 0x029c | Nome: Aa51elv03M   | Arquivo: Aa51elv03M.mp3   | Tamanho: 9680 bytes
ID_DEC: 0669 | ID_HEX: 0x029d | Nome: Aa51grd01M   | Arquivo: Aa51grd01M.mp3   | Tamanho: 2432 bytes
ID_DEC: 0670 | ID_HEX: 0x029e | Nome: Aa51grd02M   | Arquivo: Aa51grd02M.mp3   | Tamanho: 2032 bytes
ID_DEC: 0671 | ID_HEX: 0x029f | Nome: Aa51grd03M   | Arquivo: Aa51grd03M.mp3   | Tamanho: 4144 bytes
ID_DEC: 0672 | ID_HEX: 0x02a0 | Nome: Aa51grd04M   | Arquivo: Aa51grd04M.mp3   | Tamanho: 3904 bytes
ID_DEC: 0673 | ID_HEX: 0x02a1 | Nome: Aa51grd05M   | Arquivo: Aa51grd05M.mp3   | Tamanho: 3744 bytes
ID_DEC: 0674 | ID_HEX: 0x02a2 | Nome: Aa51grd06M   | Arquivo: Aa51grd06M.mp3   | Tamanho: 4928 bytes
ID_DEC: 0675 | ID_HEX: 0x02a3 | Nome: Aa51grd07M   | Arquivo: Aa51grd07M.mp3   | Tamanho: 4144 bytes
ID_DEC: 0676 | ID_HEX: 0x02a4 | Nome: Aa51grd08M   | Arquivo: Aa51grd08M.mp3   | Tamanho: 3904 bytes
ID_DEC: 0677 | ID_HEX: 0x02a5 | Nome: Aa51grd09M   | Arquivo: Aa51grd09M.mp3   | Tamanho: 2976 bytes
ID_DEC: 0678 | ID_HEX: 0x02a6 | Nome: Aa51grd10M   | Arquivo: Aa51grd10M.mp3   | Tamanho: 3360 bytes
ID_DEC: 0679 | ID_HEX: 0x02a7 | Nome: Aa51jo1M     | Arquivo: Aa51jo1M.mp3     | Tamanho: 4688 bytes
ID_DEC: 0680 | ID_HEX: 0x02a8 | Nome: Aa51jo2M     | Arquivo: Aa51jo2M.mp3     | Tamanho: 7648 bytes
ID_DEC: 0681 | ID_HEX: 0x02a9 | Nome: Aa51jo3M     | Arquivo: Aa51jo3M.mp3     | Tamanho: 5232 bytes
ID_DEC: 0682 | ID_HEX: 0x02aa | Nome: Aa51jo4M     | Arquivo: Aa51jo4M.mp3     | Tamanho: 5232 bytes
